age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
67,119.8,1.56,2.92,False,Jaipur,retired,High
36,101.1,1.83,34.28,False,Chennai,freelancer,Low
39,56.8,1.64,36.64,False,Indore,freelancer,Low
22,109.4,1.55,3.34,True,Mumbai,student,Medium
69,62.2,1.6,3.94,True,Indore,retired,High
53,62.9,1.66,50.0,False,Kota,freelancer,Medium
19,80.1,1.68,3.59,True,Hyderabad,student,Medium
31,105.7,1.78,10.865820771380372,True,Delhi,government_job,Medium
73,58.0,1.58,1.78,False,Chandigarh,retired,Medium
58,74.4,1.73,43.07,False,Pune,business_owner,Low
29,71.9,1.77,32.78,True,Chennai,business_owner,Medium
25,77.2,1.56,10.899386596696989,True,Pune,government_job,Low
42,95.2,1.78,17.58,True,Chandigarh,freelancer,High
28,93.4,1.84,11.95,False,Kolkata,freelancer,Low
49,89.3,1.65,13.50516648107039,False,Kota,government_job,Medium
61,61.7,1.68,2.99,True,Delhi,retired,Medium
66,70.2,1.59,0.61,False,Pune,retired,Medium
65,90.1,1.7,2.23,False,Delhi,retired,Medium
52,80.9,1.8,38.14,True,Kota,business_owner,High
24,111.2,1.6,2.79,True,Lucknow,student,High
34,58.2,1.85,30.65,True,Gaya,business_owner,Medium
69,92.7,1.84,2.91,False,Jalandhar,retired,High
57,106.4,1.83,30.0,False,Chandigarh,government_job,Low
35,70.3,1.78,23.71,False,Mysore,unemployed,Medium
50,54.2,1.66,18.6,False,Mysore,private_job,Medium
59,60.2,1.55,30.0,False,Mysore,government_job,Low
33,79.0,1.61,23.61,False,Jaipur,freelancer,Medium
58,111.4,1.78,34.33,False,Lucknow,private_job,Medium
38,101.2,1.79,11.63,False,Mumbai,unemployed,Low
60,117.8,1.66,50.0,True,Lucknow,business_owner,High
35,89.6,1.73,32.97,False,Delhi,business_owner,Low
39,51.1,1.83,11.77,True,Lucknow,private_job,Medium
47,113.7,1.9,50.0,False,Jalandhar,private_job,Medium
73,67.5,1.76,1.46,False,Mumbai,retired,Medium
75,100.8,1.75,0.68,True,Kota,retired,High
59,59.3,1.69,43.28,True,Chandigarh,private_job,Medium
61,58.4,1.64,0.53,False,Hyderabad,retired,Medium
26,57.2,1.79,8.09,False,Indore,freelancer,Medium
74,111.2,1.83,1.84,True,Jaipur,retired,High
51,100.6,1.68,11.99,True,Bangalore,unemployed,High
44,57.0,1.53,40.19,True,Pune,unemployed,Medium
64,59.8,1.63,3.87,False,Mumbai,retired,Medium
23,69.9,1.79,2.6,True,Mysore,student,Medium
72,85.7,1.71,1.56,False,Chennai,retired,Medium
59,77.0,1.6,50.0,True,Lucknow,private_job,Medium
58,75.3,1.5,18.39,False,Jalandhar,unemployed,High
42,83.0,1.57,25.57,True,Kolkata,unemployed,High
55,116.4,1.87,8.34,False,Chandigarh,private_job,Medium
36,94.8,1.66,32.69,True,Chennai,unemployed,Medium
23,106.6,1.58,2.29,False,Kota,student,Medium
55,66.7,1.88,25.23,True,Jaipur,private_job,Medium
